46d70203637ce4d5 85124cea1616719 f38a71143507f9c
0 6c3169e1197e2128 0
78ecaaf6248c529d 10b90aa6bcfb9f 390df681f82d154e
941bdc7153f5dda 7d9abc8e70ebf936 46eda577573d96e9
7a68c948f3ee4401 0 0
0 0 0
22fe96fa 1aa893a7af40b142 0
4e29046ed9da296d 337137ae3fa6a356 41aaebc578402cf2
0 393cb1bf3c5c07c3 0
0 0 0
66020c4fc63a22ba 77e4cc32e7ba796c 7ff0000000000000
87ee50d5549e6fc 4844d61c782d9676 10d41ddf9aeb2e95
0 0 0
0 3030bece54062afb 0
247f0d2fcd6ecec 58c2d6e0d0eed87b 1b1c3072c69171f0
6333fe44d0cf9323 0 0
4d3e3509c166a9d 4a68c262e214e360 f4ec69804d8b523
26e741a9abc0f493 f46196a150985ac 0
0 0 0
4cd21fdd60511b8e 0 0
